"","TOT.N.log","OPEN.L","MONT.S","SQ.POLIC","D.PARK","SQ.SHRUB","SQ.WATRES","L.WAT.C","SQ.LPROAD","SQ.DWATCOUR"
"1",3.09104245335832,22.684,0,2.19339918847436,250.214,0.63718129288296,0.207364413533277,0.583,1.40534693225552,27.1108834234519
"2",2.63905732961526,24.657,0,1.49130815058458,741.179,0.857321409974112,0.426614580154031,1.419,1.32702675180269,11.5780827428379
"3",4.17438726989564,30.121,0.258,1.39499103939774,1240.08,0.68847657912234,0.673052746818554,2.005,1.11803398874989,16.4021035236338
"4",4.00733318523247,50.277,1.783,0.790569415042095,1739.885,0.779102047231298,0.161245154965971,1.924,0.816088230524127,6.98219163300464
"5",4.47733681447821,43.609,2.431,0.889381807774366,2232.13,0.415932686861708,0,2.167,0.808084154033477,11.2295146823004
"6",4.64439089914137,31.385,0,0.232379000772445,2724.089,0.570087712549569,0.197484176581315,2.391,1.14411537879709,18.5592025690761
"7",3.89182029811063,24.81,0,0.148323969741913,3215.511,0.234520787991171,0.337638860322683,1.165,0.827647267862342,9.75361471455583
"8",4.18965474202643,56.228,0,3.35603933230825,3709.401,0.303315017762062,0.473286382647969,2.428,0.822800097228969,15.5958327767388
"9",3.25809653802148,48.735,1.108,1.11265448365609,4206.477,1.32060592153753,0.420713679359253,2.416,0.814861951498535,13.6778653305258
"10",3.85014760171006,15.633,0,0.344963766213207,4704.176,0,0,0.211,0.808702664766229,15.3624216840966
"11",3.55534806148941,9.999,0,0.154919333848297,5202.328,0.818535277187245,2.51177228267214,0.292,0.834266144584568,3.89666524094642
"12",4.00733318523247,39.942,0,0,5700.669,0.884872872225158,1.50332963783729,0.65,0.823407554009556,10.9025226438655
"13",3.78418963391826,10.382,0,0.194935886896179,6199.342,0,0.370135110466435,1.896,0.807465169527454,18.2279181477205
"14",3.40119738166216,2.507,0,0,6698.151,0.42190046219458,0,2.194,0.815475321515005,5.33835180556696
"15",3.49650756146648,0.738,0,0,7187.762,0,0,1.375,0.809320702811932,12.9929981143691
"16",3.36729582998647,15.725,0,0,7668.833,0,0.634034699365894,0,0.791833315793166,23.6643191323985
"17",3.52636052461616,43.866,0,0.244948974278318,8152.155,0.306594194335118,0.277488738510232,1.655,1.07656862298694,10.2390917565964
"18",4.15888308335967,45.102,0,0.353553390593274,8633.224,0.327108544675923,0.204939015319192,1.702,1.48357675905226,14.3158303985483
"19",4.33073334028633,39.46,5.235,1.30384048104053,9101.411,0.837854402626136,0,2.721,1.51327459504216,16.0253549102664
"20",3.46573590279973,19.988,3.658,0,9573.578,0.909395403551173,0.692098258919931,1.694,1.27161314872095,23.7939488105695
"21",3.52636052461616,13.369,5.049,0.554977477020464,10047.63,1.01242283656583,0.6,1.192,0.930591209930547,26.2644817196152
"22",3.46573590279973,6.848,0.224,0.603324125159934,10523.939,0,0,0.589,0.8,26.343879744639
"23",3.55534806148941,2.946,9.426,0.114017542509914,11002.496,0.1,0.279284800875379,0.476,0.787400787401181,17.3205080756888
"24",3.09104245335832,3.219,0,0,11482.896,0.109544511501033,0,0.345,0.803118920210451,11.5297007766897
"25",3.52636052461616,3.218,0,0,11976.232,0.296647939483827,0,1.621,0.923579991121505,15.9155584256412
"26",3.2188758248682,34.168,0,0,12470.968,0.14142135623731,0,1.023,1.17046999107196,5.84114714760722
"27",2.89037175789616,22.839,0,0.727323861838727,12968.285,0.294957624075052,0.433589667773576,0.357,0.79435508432942,22.69874445867
"28",2.63905732961526,7.258,0,0.559464029227975,13465.914,0.340587727318528,0,0,0.776530746332687,28.7228132326901
"29",2.63905732961526,8.513,0.763,0.250998007960223,13961.321,0.248997991959775,0,0,0.780384520605067,34.132096331752
"30",1.94591014905531,23.394,7.134,0.449444101084885,14432.954,0,0,0.007,0.777817459305202,32.0156211871642
"31",1.94591014905531,26.945,0,0,14904.995,0,0.461519230368573,0.878,1.17217746096741,27.4761350993913
"32",2.83321334405622,71.436,0,0,15377.983,0.18165902124585,1.56588633048507,0.883,0.827647267862342,24.1867732448956
"33",2.30258509299405,62.203,1.039,0,15854.389,0.364691650576209,0.246981780704569,1.921,0.770713954719908,11.7094833361682
"34",1.09861228866811,82.391,4.326,0,16335.936,0.216794833886788,0,1.479,1.03682206766639,8.99533212282904
"35",1.79175946922805,97.574,0,0.453872228716409,16810.109,0.277488738510232,0,1.237,0.771362431027076,5.95197446231081
"36",1.6094379124341,94.947,0,0.508920425999979,17235.045,0.426614580154031,0,1.898,0.822192191643779,6.557438524302
"37",0.693147180559945,89.294,0,0.527257053058563,17673.064,0.258843582110896,0.532916503778969,3.951,0.827042925125413,5.56866231693034
"38",1.09861228866811,68.779,0,0.901110426085505,18167.269,0.456070170039655,0.760920495189872,1.931,0.85615419172016,17.030237813959
"39",0.693147180559945,62.173,0,0.173205080756888,18656.949,0.250998007960223,0.463680924774785,1.365,1.31871149232878,8.27623102625827
"40",0.693147180559945,67.834,0,0.134164078649987,19149.507,0.34928498393146,0,0.591,0.943927963353136,20.1246117974981
"41",1.94591014905531,67.618,0,0.453872228716409,19645.717,0.194935886896179,0,0.868,0.854400374531753,28.0178514522438
"42",1.09861228866811,83.357,1.455,0.612372435695794,20141.987,0.308220700148449,0,1.198,0.807465169527454,16.0312195418814
"43",1.6094379124341,70.684,0,0.293257565972304,20640.729,0,0.356370593624109,2.334,0.817312669668102,10.8893985141513
"44",1.38629436111989,30.907,0,0.223606797749979,21138.903,0.14142135623731,0,3.525,0.803118920210451,15.3961358788496
"45",1.94591014905531,26.687,0,0.244948974278318,21631.542,0.25298221281347,0.44497190922574,3.087,0.775886589650833,6.76993352995434
"46",2.484906649788,9.571,4.347,0,22119.102,0.370135110466435,0.687749954561976,2.444,0.755645419492502,6.68909560404095
"47",1.94591014905531,26.687,0,0.244948974278318,22613.647,0.25298221281347,0.44497190922574,3.087,0.775886589650833,10.9934071151759
"48",2.63905732961526,16.478,1.376,0,23113.45,0.462601340248815,0,3.934,0.976217188949262,4.93082143258099
