species		tcum		tint 	 remaining	taken
abz	1	1	5	0
abz	1	1	5	0
abz	1	1	5	0
abz	1	1	5	0
abz	1	1	5	0
abz	1	1	5	0
abz	1	1	5	0
abz	1	1	5	0
abz	1	1	5	0
abz	1	1	5	0
abz	1	1	5	0
abz	1	1	5	0
abz	1	1	5	0
abz	1	1	5	0
abz	1	1	5	0
abz	1	1	5	0
abz	4	3	4	0
abz	4	3	5	0
abz	4	3	5	0
abz	4	3	5	0
abz	4	3	5	0
abz	4	3	5	0
abz	4	3	5	0
abz	4	3	5	0
abz	11	7	4	0
abz	11	7	4	0
abz	11	7	4	0
abz	11	7	5	0
abz	11	7	5	0
abz	11	7	5	0
abz	18	7	4	0
abz	18	7	4	0
abz	18	7	5	0
abz	25	7	2	0
abz	25	7	2	0
abz	25	7	3	0
abz	25	7	5	0
abz	32	7	2	0
abz	32	7	2	0
abz	32	7	3	0
abz	32	7	5	0
abz	40	8	2	0
abz	40	8	2	0
abz	40	8	3	0
abz	40	8	5	0
abz	47	7	2	0
abz	47	7	3	0
abz	47	7	5	0
abz	54	7	1	0
abz	54	7	2	0
abz	54	7	3	0
abz	54	7	5	0
abz	61	7	1	0
abz	61	7	2	0
abz	61	7	3	0
abz	68	7	1	0
abz	68	7	2	0
abz	68	7	3	0
abz	68	7	3	0
abz	75	7	1	0
abz	75	7	2	0
abz	75	7	3	0
abz	75	7	3	0
abz	81	6	1	0
abz	81	6	2	0
abz	81	6	3	0
abz	81	6	3	0
abz	88	7	1	0
abz	88	7	2	0
abz	88	7	3	0
abz	88	7	3	0
abz	95	7	1	0
abz	95	7	2	0
abz	95	7	3	0
abz	95	7	3	0
abz	103	8	1	0
abz	103	8	2	0
abz	103	8	3	0
abz	103	8	3	0
abz	109	6	1	0
abz	109	6	2	0
abz	109	6	3	0
abz	109	6	3	0
abz	116	7	1	0
abz	116	7	2	0
abz	116	7	3	0
abz	116	7	3	0
abz	123	7	1	0
abz	123	7	2	0
abz	123	7	3	0
abz	130	7	1	0
abz	130	7	1	0
abz	130	7	2	0
abz	130	7	3	0
abz	137	7	1	0
abz	137	7	1	0
abz	137	7	2	0
abz	137	7	3	0
abz	144	7	1	0
abz	144	7	1	0
abz	144	7	2	0
abz	144	7	3	0
abz	151	7	1	0
abz	151	7	1	0
abz	151	7	2	0
abz	151	7	3	0
abz	159	8	1	0
abz	159	8	1	0
abz	159	8	2	0
abz	159	8	3	0
abz	165	6	1	0
abz	165	6	1	0
abz	165	6	2	0
abz	165	6	3	0
abz	175	10	1	0
abz	175	10	1	0
abz	175	10	2	0
abz	175	10	3	0
abz	179	4	1	0
abz	179	4	1	0
abz	179	4	2	0
abz	179	4	3	0
abz	188	9	1	0
abz	188	9	1	0
abz	188	9	2	0
abz	188	9	3	0
abz	193	5	1	0
abz	193	5	1	0
abz	193	5	2	0
abz	193	5	3	0
abz	202	9	1	0
abz	202	9	1	0
abz	202	9	2	0
abz	202	9	3	0
abz	209	7	1	0
abz	209	7	1	0
abz	209	7	2	0
abz	209	7	3	0
abz	216	7	1	0
abz	216	7	1	0
